id,Soil type,Installion method,gamma (kN/m3),friction angle (°),wall interface friction angle (°),cohesion (kPa),ultimate bond strength (kPa),Nc,Nq,Ng,D (mm),Dout (mm),Din (mm),Bar #,fy (MPa),H (m),Wall batter angle (°),Nail length (m),Sv (m),Sh (m),Nail inclination (°),Cantilever distance (m),Tracción (kN),Ka,Displacement (mm),Eccentricity (m),FS SL,FS BC,FS global,Es suficiente
28,Silty clayey sand,Auger,17.5,27,18,10.00,137,23.9,13.2,14.5,203,25.4,0,25,413.7,6,85,5,0.79,0.79,10,0.3,116.5,0.301,12,-0.1,1.7,8.9,2.09,VERDADERO
29,Silty clayey sand,Auger,17.5,27,18,10.00,137,23.9,13.2,14.5,203,25.4,0,25,413.7,7,85,5,0.79,0.79,10,0.3,116.5,0.302,14,-0.1,1.4,7.7,1.38,VERDADERO
30,Silty clayey sand,Auger,17.5,27,18,10.00,137,23.9,13.2,14.5,203,25.4,0,25,413.7,8,85,7,0.79,0.79,10,0.3,116.5,0.295,16,-0.2,1.8,9,1.52,VERDADERO
31,Silty clayey sand,Auger,17.5,27,18,10.00,137,23.9,13.2,14.5,203,25.4,0,25,413.7,9,85,8,0.79,0.79,10,0.3,116.5,0.297,18,-0.3,1.8,8.8,1.64,VERDADERO
32,Silty clayey sand,Auger,17.5,27,18,10.00,137,23.9,13.2,14.5,203,25.4,0,25,413.7,10,85,9,0.79,0.79,10,0.3,116.5,0.298,20,-0.3,1.7,8.7,1.46,VERDADERO
33,Silt,Rotary drilling,18.5,28,18.7,3.50,76,25.8,14.7,16.7,203,25.4,0,25,413.7,3,85,3,1.5,1.5,20,0.3,62.2,0.286,0,0,2,10.5,1.77,VERDADERO
34,Silt,Rotary drilling,18.5,28,18.7,3.50,76,25.8,14.7,16.7,203,25.4,0,25,413.7,4,85,3,1.5,1.5,20,0.3,62.2,0.286,0,0,1.5,7.8,1.46,VERDADERO
35,Silt,Rotary drilling,18.5,28,18.7,3.50,76,25.8,14.7,16.7,203,25.4,0,25,413.7,5,85,5,1.5,1.5,20,0.3,66,0.276,0,-0.2,2,10.2,1.64,VERDADERO
36,Silt,Rotary drilling,18.5,28,18.7,3.50,76,25.8,14.7,16.7,203,25.4,0,25,413.7,6,85,6,1.5,1.5,20,0.3,90,0.285,0,-0.2,1.9,9.7,1.57,VERDADERO
37,Silt,Rotary drilling,18.5,28,18.7,3.50,76,25.8,14.7,16.7,203,25.4,0,25,413.7,7,85,7,1.5,1.5,20,0.3,114.8,0.286,0,-0.2,1.9,9.6,1.5,VERDADERO
38,Silt,Rotary drilling,18.5,28,18.7,3.50,76,25.8,14.7,16.7,203,25.4,0,25,413.7,8,85,8,1.5,1.5,20,0.3,116.5,0.285,0,-0.2,1.8,9.5,1.38,VERDADERO
39,Silt,Rotary drilling,18.5,28,18.7,3.50,76,25.8,14.7,16.7,203,25.4,0,25,413.7,9,85,10,1.5,1.5,20,0.3,116.5,0.289,0,-0.4,2,10.3,1.36,VERDADERO
40,Silt,Rotary drilling,18.5,28,18.7,3.50,76,25.8,14.7,16.7,203,25.4,0,25,413.7,10,85,11,1.5,1.5,20,0.3,116.5,0.287,0,-0.4,2,10.2,1.24,FALSO
41,Silty sand,Rotary drilling,19.5,29.5,19.7,0.00,151,29,17.4,20.8,203,25.4,0,25,413.7,3,89,3,1,1,10,0.25,62.4,0.301,9,0.1,1.9,9.6,1.44,VERDADERO
42,Silty sand,Rotary drilling,19.5,29.5,19.7,0.00,151,29,17.4,20.8,203,25.4,0,25,413.7,4,89,4,1,1,10,0.25,72.2,0.296,12,0.1,1.9,9.9,1.47,VERDADERO
43,Silty sand,Rotary drilling,19.5,29.5,19.7,0.00,151,29,17.4,20.8,203,25.4,0,25,413.7,5,89,5,1,1,10,0.25,105.3,0.295,15,0.1,1.9,9.8,1.43,VERDADERO
44,Silty sand,Rotary drilling,19.5,29.5,19.7,0.00,151,29,17.4,20.8,203,25.4,0,25,413.7,6,89,6,1,1,10,0.25,116.5,0.296,18,0.2,1.9,9.8,1.41,VERDADERO
45,Silty sand,Rotary drilling,19.5,29.5,19.7,0.00,151,29,17.4,20.8,203,25.4,0,25,413.7,7,89,7,1,1,10,0.25,116.5,0.298,21,0.2,1.9,9.8,1.34,FALSO
46,Silty sand,Rotary drilling,19.5,29.5,19.7,0.00,151,29,17.4,20.8,203,25.4,0,25,413.7,8,89,8,1,1,10,0.25,116.5,0.296,24,0.3,1.9,9.6,1.33,FALSO
47,Silty sand,Rotary drilling,19.5,29.5,19.7,0.00,151,29,17.4,20.8,203,25.4,0,25,413.7,9,89,9,1,1,10,0.25,116.5,0.299,27,0.3,1.9,9.6,1.31,FALSO
48,Silty sand,Rotary drilling,19.5,29.5,19.7,0.00,151,29,17.4,20.8,203,25.4,0,25,413.7,10,89,10,1,1,10,0.25,116.5,0.293,27,0.3,2,9.8,1.36,VERDADERO
49,Piedmont residual,Rotary drilling,19.5,33,22,1.00,117,38.6,26.1,35.2,203,25.4,0,25,413.7,3,60,3,1.2,1.2,20,0.2,62.6,0.094,3,-1.6,3,42.2,1.89,VERDADERO
50,Piedmont residual,Rotary drilling,19.5,33,22,1.00,117,38.6,26.1,35.2,203,25.4,0,25,413.7,4,60,3,1.2,1.2,20,0.2,62.6,0.094,4,-2.1,2.4,36.8,1.44,VERDADERO
51,Piedmont residual,Rotary drilling,19.5,33,22,1.00,117,38.6,26.1,35.2,203,25.4,0,25,413.7,5,60,4,1.2,1.2,20,0.2,95.6,0.094,5,-2.7,2.5,37.9,1.6,VERDADERO
52,Piedmont residual,Rotary drilling,19.5,33,22,1.00,117,38.6,26.1,35.2,203,25.4,0,25,413.7,6,60,5,1.2,1.2,20,0.2,116.5,0.093,6,-3.3,2.7,39.5,1.54,VERDADERO
53,Piedmont residual,Rotary drilling,19.5,33,22,1.00,117,38.6,26.1,35.2,203,25.4,0,25,413.7,7,60,6,1.2,1.2,20,0.2,116.5,0.094,7,-3.8,2.7,39.5,1.59,VERDADERO
